,count,hate_speech,offensive_language,neither,class,tweet
6302,,,,,neither,http://www.spellblast.com/
6303,,,,,neither,"The highes gothic altar ever built This altar is placed in church of st. Jakub , in town Levoča ."
6304,,,,,neither,"It was built between years 1508 - 1510 , by Majster Pavol z Levoče ( Master Paul of Levoča ) ."
6305,,,,,neither,"Its height reaches 18,62 m ."
6306,,,,,neither,Youtube has several dozen Holocaust Revisionist videos .
6307,,,,,neither,"It wo n't be long until Jewish groups like ADL , SPLC , Simon Wiesenthal Center and Search light are applying big pressure to have these videos censored ."
6308,,,,,neither,David Stein/Cole on the Holocaust and historical revision - YouTube
6309,,,,,neither,Appears as if this fellow best me to it and explained a bit better than I could typing from my phone .
6310,,,,,neither,Well done .
6311,,,,,neither,Good choice in the XD .
6312,,,,,neither,I have a .40 sub compact and a .40 XDM .
6313,,,,,neither,My recommendation for a first handgun is always XD or Glock .
6314,,,,,neither,Get your hands on both and get the one that `` fits '' .
6315,,,,,neither,yes there is a KKK in Canada you have to be invited to get in .
6316,,,,,neither,They like to keep cops out .
6317,,,,,neither,"If that was your DNA test results you posted , and if the methods of the particular testing company are reliable , then your dark coloring may be coming from these components :"
6318,,,,,neither,A simple lack of judgement caused this .
6319,,,,,neither,So sad !
6320,,,,,neither,"Pro-gun Jamie Gilt is shot by her four-year-old son in Putnam County , Florida | Daily Mail Online"
6321,,,,,neither,"So do the teachers in the public schools in the South hold liberal views in their private life as well , or are they conservative in private life and then knowingly lie to the kids in school ?"
6324,,,,,neither,"You can come out to Calgary , we have a good group here that is very against drugs and the drug culture ."
6325,,,,,neither,Wow this policy of prosecuting people for offending liberals is disgusting .
6326,,,,,neither,It should never be a crime to tell the truth or speak your mind .
6327,,,,,hate_speech,"I never really thought about it before but I guess bicycling is primarily a white activity , kind of like sunbathing , going swimming , playing golf , tennis , attending a social function without a brawl taking place , not smelling like a wild animal in the locker room after a hard workout , and speaking proper English ."
6328,,,,,neither,"I have multiple sources of spark in my kit - stormproof matches , plain matchs , magnesium / steel ."
6329,,,,,neither,I also have pre-baked cotton ( 45 minutes at 350 ) in an old pill bottle and a small container of hand sanitizer ( 70 % ethyl alcohol in gel form ) .
6330,,,,,neither,Other ethnic groups are allowed to have ethnocentric charter schools paid by taxpayers .
6331,,,,,neither,Why ca n't whites have an English charter school or Latin charter school funded by taxpayers where white culture and literature is promoted .
6332,,,,,neither,"Have not done DNA testing , but looking at the family tree I can see that it 's mostly British with some Italian and Scandinavian thrown in for good measure ."
6333,,,,,neither,"Yes, that 's what I tell Black prostitutes in my neck of the woods when the accost me for a good time !"
6334,,,,,neither,If things keep going the way they are white men are going to be stuck with women that could n't get a black male .
6335,,,,,hate_speech,A lot of white women are trying to create danger by drawing these other people into our countries .
6336,,,,,neither,Well It would me more uplifting if people threw themselves headfirst behind racial loyalty and make the individual sacrifice for the group but that is up to the individual to make that decision .
6337,,,,,neither,I live in a suburban area with an old spring fed lake that always has water in it .
6338,,,,,neither,Anyone have any thoughts on the best way to turn this water into drinking water ?
6339,,,,,neither,At least people in the US have guns to defend themselves .
6340,,,,,neither,People in Europe have nothing .
6341,,,,,neither,Use your guns to fight for THE WHITE RACE !!
6342,,,,,hate_speech,"And theres a good chance these children will end up race mixing back into the white gene pool , mongrelizing our race ."
6343,,,,,neither,Just started reading Mein Kampf .
6344,,,,,neither,It 's been sitting the shelf for a while and I plan to read a chapter every evening .
6345,,,,,neither,Is Canada too big ?
6346,,,,,hate_speech,If Canada was small the nonwhites would be everywhere but so many whites live rurally or in small towns so they do n't see the racial disaster unfolding on Canada .
6347,,,,,neither,When Starbucks had that race talk crap a few months back .
6348,,,,,neither,The were confused because I started talking about NASCAR and how they were racist by not allowing Asian drivers .
6349,,,,,neither,They all thought I was crazy and I know I was acting as foolish as the discussions were
6350,,,,,neither,I still have bottle cages on most of my bikes .
6351,,,,,neither,I put sports drinks in them on longer rides and keep water in the Camelback .
6352,,,,,neither,Thank you !
6353,,,,,neither,Going to sign `` Through Innocent Eyes '' right now and mail it to you first thing tomorrow morning !
6354,,,,,neither,Thank you so much !
6355,,,,,neither,Cindy
6356,,,,,neither,You've walked right into it again .
6357,,,,,neither,How you going to get out this time ?
6358,,,,,neither,Kick over the pieces ?
6359,,,,,neither,Ask a friend ?
6360,,,,,neither,"Yes, but it is very difficult to obtain firearms in New York City ."
6361,,,,,neither,You need an extensive background check and references .
6362,,,,,neither,"Wieghtlifting and martial arts , I used to fish a hell of a lot when I was younger with my grandfather aswell as going shooting - need to get back to it ..."
6363,,,,,neither,Theres an old style weapon called a monkeys claw/fist that seamen would make from rope and lead shot .
6364,,,,,neither,I always intended to try making one but never got round to it .
6365,,,,,neither,Plans are on youtube .
6366,,,,,neither,it makes me so happy to see all of these familes. it gives me more hope than ever that our race will live on forever .
6367,,,,,neither,"Oh, you 'd better believe they do ."
6368,,,,,neither,As do blacks .
6369,,,,,neither,I 've also noticed that lazy whites tend to side with them too .
6370,,,,,neither,o___O Im gonna see if i can get them on my kobo . .... damn nope .
6371,,,,,neither,"But that reminds me , Harry Potter was finally released in ebook ."
6372,,,,,neither,"When I have the money , I wants it"
6373,,,,,hate_speech,Whites wo n't exist in Canada anymore they all have left or mixed themselves away basically leaving Canada to become a large ghetto
6374,,,,,neither,What if there had been no Norman conquest ?
6375,,,,,neither,I would probably be French instead of American .
6376,,,,,neither,My earliest known paternal ancestor was a Norman knight who sent two sons across the Channel in 1066 .
6377,,,,,neither,Six hundred years later my 9th great grandfather came to America .
6378,,,,,neither,There could be if could put together something we have had interest from people in Manitoba before .
6379,,,,,neither,Send us an email Unit14Global@gmail.com
6380,,,,,neither,The Book of Revelation !
6381,,,,,neither,There 's no better source for learning about the end times than God 's own words .
6382,,,,,neither,The Bible is the only true source for end times information and anything else is just human speculation
6383,,,,,hate_speech,You have to defend yourself with riots happening across the country and invaders flooding across our borders .
6384,,,,,neither,The government and elites will not do anything about it .
6385,,,,,neither,Defend yourself !!!!!
6386,,,,,neither,California has gotten so weak i was in the marine corps for years i cant believe how wussed out they are the same place i went to boot camp in 1981 i fired everything they had but could n't drink beer off the base ..... San Diego is gorgeous tho
6387,,,,,neither,It does look good .
6388,,,,,neither,I love audio !
6389,,,,,neither,I just turn up the sound and I can work and listen .
6390,,,,,neither,"Occasionally I 've accidentally left the window open , and Dr. Pierce lectured to the neighborhood"
6391,,,,,neither,"There is always the International Oil Patch , we know there is no Drugs , Booze , or Hookers there , and a different Country every few weeks Get your Divorce early , everyone gets one two to a customer ."
6392,,,,,neither,"unless you teach math , but hell there 's a post on here that says math teachers want to teach social equality. and white privilege !"
6393,,,,,neither,"I fell asleep on the couch with a blue tongue skink on my chest one night and awoke to him biting my neck , I guess my Adam 's apple set off a feeding response ."
6394,,,,,neither,I screamed WTF and the GF came running out of the bedroom wondering what happened. we both got a good chuckle out of it .
6395,,,,,neither,Evidence?
6396,,,,,neither,They do n't need evidence .
6397,,,,,hate_speech,In many countries the Jew/white liberal will throw you in jail for longer than a murderer for denying their `` evidence '' !
6398,,,,,hate_speech,Love how the ape loses so starts going on about how he 's going to shoot him .
6399,,,,,neither,What a cowardly cretin he is .
6400,,,,,neither,"Yes, there some real GOOD places to live ."
6401,,,,,neither,"Some so remote , you will hear coyotes , and see the night sky as never before ."
6402,,,,,neither,"Instead of hearing rap music and looking at bling , The song dogs ( coyotes ) will serenade you ... This is the kind of stuff I love to talk about ."
6403,,,,,neither,A beautiful and very proper Czech Christmas song featuring the great Marta Kubisova who was silenced for standing up to communists in 1971 .
6404,,,,,neither,VÃ ¡ clav NeckÃ ¡ Å & Karel Å * tÄ drÃ 1\/2 & Marta KubiÅ ¡ ovÃ ¡ - Dary nesem ( 1968 ) - YouTube
6405,,,,,hate_speech,I know somebody who wants to perhaps move to Alberta but is wondering if they have the homo agenda in the schools there .
6406,,,,,neither,Does somebody know ?
6407,,,,,neither,"Firestorm of Star Birth in Galaxy Centaurus A Resembling looming rain clouds on a stormy day , dark lanes of dust crisscross the giant elliptical galaxy Centaurus A."
6408,,,,,neither,"What is worse , is the fact that they are allowed to bring their violent chaos to our beloved homelands , and contaminate the minds of our children !"
6409,,,,,neither,I have n't been to a gun show in years .
6410,,,,,neither,"When I was young , gun shows were just that ."
6411,,,,,neither,They were usually independent collectors with their guns on display or private collections for sale .
6412,,,,,neither,"Today , you pay to look at table after table of guns priced at retail ."
6413,,,,,neither,The tables with junk Chinese knives and jewelry have also proliferated .
6416,,,,,neither,Hmmmm. not a fan of the Hydroshok round .
6417,,,,,neither,I saw a few video tests of them somewhere ........
6418,,,,,neither,Let me see if I can find them for you .
6419,,,,,neither,Is it okay to enjoy toast ?
6420,,,,,neither,Because the bread starts off all pure and white but once toasted it is a dark brown shade and is dry and hard and doesnt taste like bread at all ?
6421,,,,,neither,Nordic is a sub race that an Anglo Saxon or Celtic person could and more than likely does belong to .
6422,,,,,neither,Nordic is not someone 's heritage it 's a sub race category than one person 's heritage will be put into .
6423,,,,,neither,"Well of course not , hell , my glock 40 9mils can hit a penny at a mile if I hold ' em sideways !"
6424,,,,,neither,YEH YAY !!!
6425,,,,,neither,Trying to find out where to buy a copy of White Power that either ships to England or can be bought in England
6426,,,,,neither,Cool.
6427,,,,,neither,I 'm surprised Greek or some Asiatic languages did n't pop up .
6428,,,,,neither,I hear Icelandic and Mandarin are among the most difficult .
6429,,,,,neither,I've never heard of blacks being better at cutting weight .
6430,,,,,neither,"But from what i have seen of the UFC lately , there are many whites dominating their division or challenging in the top positions of just about every weight class , with the exception of the heavyweight division ."
6431,,,,,neither,What age is too old to start driving a truck on the long hauls ?
6432,,,,,neither,Is there a mandatory retirement age or an age limit ?
6433,,,,,neither,"This judge is an idiot and a prime example of why the law gets what little respect it does these days , they will let anyone with an agenda and connections become a judge these days ."
6434,,,,,neither,Special Spring snack for Kes .
6435,,,,,neither,She 'll smell of it for a while then it 'll be gone in a matter of seconds .
6436,,,,,neither,https://scontent-a-ord.xx.fbcdn.net/hphotos-prn1/560008_10200593451827685_1725723611_n.jpg Antique photo of French motorized tricycles https : //scontent-b-ord.xx.fbcdn.net/hphotos-ash4/603341 _ 10200196698389097 _ 1099230950 _ n.jpg Man with elaborate motorized tricycle More photos : https : //www.facebook.com/isabelle.br ... 1025670 & type = 3
6437,,,,,neither,"i have french-german-spanish blood , but i have mostly french blood , my last name is french , as far as i know that ´ s all ."
6438,,,,,neither,This guy is pretty cool going around and exposing fake SEALS .
6439,,,,,neither,Too bad most of the guys he catches are white .
6440,,,,,neither,"You have to listen to him and his wife do little stories in between his interviews but they are ok = ) Phony Navy SEAL of the WEEK , Adam Hubbard , Jose R. Gonzalez , D.K. Grant ."
6441,,,,,neither,- YouTube
6442,,,,,neither,Unfortunately in the United Kingdom we do n't have guns like you Yanks so I was hoping for some alternatives for a SHTF scenario ?
6443,,,,,neither,"I use 40mm grenade ammo cans , rubber sealed and air tight and you can find them for about $ 20 a piece ."
6444,,,,,neither,17L x 6W x 10.5H.
6445,,,,,hate_speech,some times Whites are forced to live around a lot of blacks .
6446,,,,,neither,We live in a black majority neighborhood for economic reasons and we are definitely not race mixers .
6447,,,,,neither,What city and when was this that no calls could be made out .
6448,,,,,neither,Solution walkie talkies that take double a batteries .
6449,,,,,neither,"Those solar lawn lights , you know whats inside that charges during the day so they run at night double a batteries ."
6450,,,,,neither,If it takes double a batteries it will always run .
6451,,,,,neither,Yes but upon further research I have realised its just a liability .
6452,,,,,neither,I do n't want to throw my life away .
6453,,,,,hate_speech,I would love to see a video of Somalis blown apart with a torpedo and see bodies and scrap metal fly hundreds of feet into the air .
6454,,,,,neither,"i honestly dont know what my eye color is ... they look green , but at times grey or dark blue .. sucks i cant determine my actual eye color ."
6455,,,,,neither,Either when the last White child is brutally murdered or when the last of our enemies perishes .
6456,,,,,neither,"This is your only choice , White man !"
6457,,,,,neither,Changing the narrative a little .
6458,,,,,hate_speech,"Still , a little bit of truth slipping out of an Israeli 's mouth Surprised this thread was moved as it 's all over the news here ."
6459,,,,,neither,Outraged presenters and all .
6460,,,,,neither,As a holder of a black belt in an Asian martial art I can say that they can be very effective for real world self defense .
6461,,,,,neither,My 22 pump action long rifle for fun My mosin nagant for hunting My semi automatic 12 gauge for home defense buck shots My browning 1919 for personal side arm My mauser k 98 k scoped for hunting
6462,,,,,neither,"I understand your concern , but before you worry too much about coons with guns and their ability to plan anything , watch this video ."
6463,,,,,neither,Blacks Will Lose Race War - YouTube
6464,,,,,neither,"That's completely true , I have a 3-y-o son and he does n't like at all to play with brown-skinned boys or girls , I especially remember once a pair of twin girls came up to kiss him and he just ran away , it was the enchantment of the white man !"
6465,,,,,neither,I actually saw it .
6466,,,,,neither,"Behind bullet-proof glass , a dozen armed guards , maybe 50 yards away ."
6467,,,,,neither,Looked like it was 6 inches tall ; but I saw it .
6468,,,,,neither,ik was watching a outdoors hunting show in Canada today. looks to me they have every thing we have channel 604 on direct tv
6469,,,,,hate_speech,"New York 's Old Pennsylvania Station , What a tragic loss , to promote Jewish `` Modern '' filth , no surprise !"
6470,,,,,neither,"New York Brownstones , designed by European Whites ."
6471,,,,,neither,"Inside Cologne Catherdral Paris Opera House Peterhoff Palace St. Petersburg , Russia Palace at Versailles"
6472,,,,,neither,We have n't heard this exquisitely beautiful song in a while .
6473,,,,,neither,Let 's hear it again this morning .
6474,,,,,neither,Perfection .
6475,,,,,neither,Jackie Evancho - Lovers - House of Flying Daggers - HD - YouTube
6476,,,,,neither,Boys and girls should n't wrestle each other .
6477,,,,,neither,"It never ends well , especially if the boy loses ."
6478,,,,,neither,I 've seen guys lose to girls and have their high school lives ruined to the point of having to switch schools because of the teasing and tormenting after losing to a girl .
6479,,,,,neither,"These kind of stories are designed to create more fear , and more calls from the ignorant sheeple for gun control ."
6480,,,,,hate_speech,The jew is attempting to make the condemned beg for the noose .
6481,,,,,hate_speech,Many of them are doing just as their masters desire .
6482,,,,,neither,"Honestly, coming out with an ill thought out rant like this would see you dismissed as a crank in any meaningful debate ."
6483,,,,,neither,"Negroes also do n't know how to clean guns or care about cleaning guns or gunsmithing , which will catch up to them ."
6484,,,,,neither,if the sensi knows what they are doing they will break down the kata and show you how each move or movies apply to a certian kind of attack .
6485,,,,,hate_speech,"Hi Im tv free do n't have kids yet reading mending , sewing , menting board games radio study extra curricula actives Good on you for planning a FREE jewv existence"
6486,,,,,neither,"Yeah I downloaded them all just in case , have to wait until the all-in-one video gets posted again , seems the hews and their companies got to YT as usual and took it down .."
6487,,,,,neither,Typical
6488,,,,,neither,"I can hear the Chief now , we have enough on our plates ."
6489,,,,,neither,How dare you give us evidence of crimes on tape !
6490,,,,,neither,Videos like this just make me go hmm .
6491,,,,,neither,Should I go for the .45 and knock em down or should I go 9mm hi cap since its like an infestation .
6492,,,,,neither,I shoot a `` souped up '' first year Ruger Old Army .
6493,,,,,neither,"Adjustable rear sight , orange target insert in the front sight , modified cylinder ."
6494,,,,,neither,Brass Super Blackhawk Dragoon grip frame .
6495,,,,,neither,".457 round ball over an Ox Yoke Wonder Wad , over a 30gr Pyrodex pistol pellet , which is over 5-25 grains by volume of FFFg equivalent 777 ... fired by a #10 Remington Magnum percussion cap ."
6496,,,,,neither,"#11 caps are useless on this particular gun , as you go around the cylinder at least one full revolution before they can actually seat fully and fire ."
6497,,,,,neither,Best cap and ball revolver ever made .
6498,,,,,neither,Period .
6499,,,,,neither,I can hit a paper plate at 100 yards or hole a 5 gallon steel pail of roofing tar at 25 yards ... It is my `` brush gun '' during blackpowder deer season or when going after feral hogs .
6500,,,,,neither,Rifles ?
6501,,,,,neither,Shoot a pre merger Thompson Center Hawken 50 .
6502,,,,,neither,Jacketed .45 hollow point sabot rounds .
6503,,,,,neither,"Not the best round by any means , but 2 or 3 50 grain Pyrodex pellets over 5 grains of FFFg 777 and a #11 cap gets the job done ."
6504,,,,,neither,"Also shoot a Lyman Great Plains .54 , patched lead round ball over bulk FFg , fired by a #11 cap ."
6505,,,,,neither,The .54 will flip a white tail over pretty handily ...
6506,,,,,neither,The `` big boy toy '' is an English built Moore and Harris caplock double in .69/12g.
6507,,,,,neither,"Needs a new stock , ramrod and nipples ."
6508,,,,,neither,"Slowly being brought back into service , it is an original that belonged to a Confederate military courier post war ."
6509,,,,,neither,"Has been in the wife 's family since it was brand new , original owner used it until the stock split and the checkering was worn down to faint traces on the wood surface ."
6510,,,,,neither,Ruger Old Army and Moore and Harris double .
6511,,,,,neither,"Revolver had been used all hunting season , shotgun was fresh out of sitting in attics/closets since the late 1800s or early 1900s ."
6512,,,,,neither,"Shotgun 's original owner died in 1920 , President Davis ' personal military courier ."
6513,,,,,neither,"We have his handwritten account of the Battle of Shiloh , where he was with the 4th Tennessee ..."
6514,,,,,neither,Shame on you .
6515,,,,,hate_speech,"The liberals are going to get their panties in a bunch , with people like you saying we must learn to defend ourselves ."
6516,,,,,neither,I want to thank every one who posted to the Halloween thread this year .
6517,,,,,neither,It was great reading all your input .
6518,,,,,neither,I hope every one had a Happy Halloween .
6519,,,,,neither,"This was done about two summers ago when she was just a baby out on the tree in the front yard , she is WAY bigger now I will try and get the new pics up this week to show off of her and the pug both ."
6520,,,,,hate_speech,Typical Negro .
6521,,,,,hate_speech,"They laugh at whites who obey the law , bother to get married , women who are chaste ."
6522,,,,,hate_speech,They only know how to destory our civilization .
6523,,,,,neither,"Yeah, I 've gotten annoying responses to people when I told them we were going to home school , but they were n't as `` You 're a weirdo '' as the responses we get for not vaccinating ."
6524,,,,,neither,"You CANNOT teach people to be intelligent - we must start breaking students into groups of low , moderate and high intellectual ability and teach each group suitable material ."
6525,,,,,neither,"Well, it 's a trick ."
6526,,,,,neither,They have properly learnt their Zionist lesson ...
6527,,,,,neither,Israeli Minister `` We always use the anti-Semitism trick or bring up the Holocaust '' - YouTube
6528,,,,,neither,"If it helps you feel better , I got accepted into the following schools : - UCLA - UCI - UCSB - USD - Pepperdine - Oregon State - USC F * ck Ivy League ."
6529,,,,,neither,A negro teacher forced a five year old white boy to stand in front of his class .
6530,,,,,neither,She then solicited his classmates to make comments about what they disliked about the boy .
6531,,,,,neither,She then had the other students vote him out of the class .
6532,,,,,neither,The boy was so traumatized he did n't want to go back to school .
6533,,,,,neither,The child abusing teacher was Wendy Portillo .
6534,,,,,neither,"The school was Morningside Elementary School in Port St. Lucie , Florida. black teacher has kindergarten class vote out White boy What happened to this boy was child abuse ."
6535,,,,,neither,The child abuse of white children happens every day in American schools .
6536,,,,,neither,People arent giving the Japanese enough credit .
6537,,,,,neither,"Anyone remember the yamoto ? youtube : japanese battleship yamoto If they had enough oil to run the thing , they would have taken over the entire ocean ."
6538,,,,,neither,"Sadly, virtually every parent on this site will have to have their children experience that , as it is , without forcing them to experience it unnecesserily ."
6539,,,,,neither,great posts. see how the media has been lying to us for decades about what actually happened and what it was actually all about .
6540,,,,,neither,all i can say is thank goodness i was n't educated in this country. i fear for our children i really do !
6541,,,,,neither,I have a report somewhere called Allied Intrigue in the Low Countries and I seem to remember understanding a bit more .
6542,,,,,neither,Similar with Norway I think .
6543,,,,,neither,Oh fawk !!!
6544,,,,,neither,The zoo ?!?!
6545,,,,,hate_speech,"When I die just put a monitor in my coffin running a never ending holocaust documentary , just to make sure I nevah fo-get !"
6546,,,,,neither,You pulled that from the top link of a google search .
6547,,,,,neither,Maybe this should be a poll so we can democratically set his iq .
6548,,,,,hate_speech,I would rather have a white person with a high school diploma from an all white high school teach a kid to read than a negro with a college degree not teach a kid to read even while getting paid to do so .
6549,,,,,neither,My mother taught me to read and count change before I was three years old !
6550,,,,,neither,It was not hard either .
6551,,,,,neither,Integrated public schools offer nothing but abuse for white children .
6552,,,,,neither,Even all or mostly white public schools will still feed poison agenda .
6553,,,,,neither,Spanish is NOT their language !
6554,,,,,neither,"It is our ( White ) language , just like French is our language even though millions of negroes in Africa speak it ."
6555,,,,,neither,I am doing online school for my associates in computer information systems with a concentration in web design .
6556,,,,,neither,Hopefully can find work once i am done .
6557,,,,,neither,Dangers of government schools : exposing your kids to philosophy like this ....
6558,,,,,neither,YouTube - Jeremiah Wright - God Damn America - Obama 's Spiritual Mentor / Pastor
6559,,,,,neither,"I know the thing on ebay said its first edition so i guess so , its still sitting at 51 $ so i am hoping it stays there and ill just bid like crazy the last few minutes of the auction and hopefully get it ."
6560,,,,,neither,"As long as you do n't do that , they ca n't accuse you of misusing company time , or creating a hostile work environment"
6561,,,,,neither,Tomorrow you will accept it and the day after that you will embrace it .
6562,,,,,neither,A Racist is someone who loves their Race .
6563,,,,,neither,"If you love your Race and want to see it thrive well into the future , You 're a Racist ."
6564,,,,,neither,"Little Miss Little Miss Muffet sat on a tuffet Eating a Big Mac and fries Along came a spider and sat down beside her ' Yuck ' , it said , ' I prefer flies ' ."
6565,,,,,neither,"i live in the bay area and have no car and barely any money to my name. i want to join the fight. if anyone is going from around here or can get me there , please pm me ."
6566,,,,,neither,Those you speak of are the very article which started this thread .
6567,,,,,neither,All you have to do is have eyes to see clearly .
6568,,,,,hate_speech,"The jews represent everything vile , deviant and unnatural , everything and anything that is an abomination to our Lord Jesus Christ , I hope he is burning with his father in hell ."
6569,,,,,neither,I was just curious as to know what country everyone 's ancestors came from in SF .
6570,,,,,neither,"I am of German and British descent ( 75 % German , 25 % British , approx. )"
6571,,,,,neither,"I also read in `` March of the Titans '' that there are three `` subraces '' pf whites , nordic , alpine , and mediterranian , and found out I could be a poster boy for the Alpine group ( round face , brown hair , green eyes , stocky build ) !"
6572,,,,,neither,I was also wondering if any of you all believe if any `` subrace '' is superior to another ?
6573,,,,,neither,"It's really not our faith of choice that matters , It 's the dedication to our race which is where we are made or lost ."
6574,,,,,hate_speech,"Seriously, this guy is VERY primitive even for a Black ."
6575,,,,,hate_speech,I 'd put him somewhere between the typical African and an ape .
6576,,,,,hate_speech,"Geesh , they 'd let a gorilla into UCLA for the sake of `` Diversity '' as long as it got a body wax ."
6577,,,,,neither,I would bet the campus cops were ordered to withhold it by some `` higher authority '' like the Department of Homeland Security .
6578,,,,,hate_speech,"The reason y i dropped out of school was because either , i drop out or i got kicked out. i always fought with the packi gang at my school. and i was never going to back down. in auto class i handed the n * igger a monkey wrench and told him the name suited him aswell. all the non-whites hated me because i wore a `` nazi punk '' and a `` white pride '' patch on my coat and backpack. a got in a fight with some black chick and i won. the next day her butchy sister caught up with me in the hall way and said that after school her and i where gonna fight. i told her `` no if u wanna fight , we 're gonna fight right here right now. not after school where u can gather the rest of u monkies up so it 's an uneven fight '' . she huffed and stormed away. - we neevr did get to fight the last straw was the first day of school i had a forgein substitute teacher. so i was talkin and and this guy was on my case about turning around and getting my work done. he had to ask me this a few times and then finially i stood up and said , `` look , i 'm white ur black , i should be telling u whut to do ! '' ohhh man , my guidance conslour did n't like that nor did my principal .... ( this was n't at school this happened a month or so ago but these people went to my school ) i had a n * igger try to rob me at knife point in the forest while his gf sat back and watched. my friend came by and jumped him and i personally went after the chick. she ran and i caught up to her and smashed her head into a tree. thats only some of my stories ....... i got a few more but i dont have the time"
6579,,,,,neither,If you do n't mind a silent film The Birth of a Nation is a must see .
6580,,,,,neither,Not many films end with a Klan victory .
6581,,,,,neither,I first shaved my head when I was 12 ( i 'm 19 now ) but I did it because I hate combing my hair .
6582,,,,,neither,"I never did it to look like a skinhead , but it was funny in high school when all the blacks and mexicans stared at me when I would walk by ."
6583,,,,,neither,Most white kids i know believe they are superior and they freak out whenever a black guy is fighting a white .
6586,,,,,neither,"Besides Metallica 's new album , I have n't bought a mainstream album in like a year ."
6587,,,,,neither,It 's been all white power music .
6588,,,,,neither,you gotta stand up for yourself you cant just sit back and take their * * * * but on the other hand you cant go out looking for it either but if it comes down to a fight dont back down
6589,,,,,hate_speech,"When they get ridiculed because of their injury on the radio by a negro talk-show host who sings little songs about how sharks only eat White people , sure ."
6590,,,,,neither,It ca n't hurt .
6593,,,,,neither,have him come to california and see what crap i had to grow up around. i 'll need 1maybe even 2 days tops ...
6594,,,,,neither,"please recommend me black metal and death metal bands , like fear factory or slipknot and etc. machine head slayers albums like `` god hates us all '' and `` diabulus musica . ''"
6595,,,,,neither,"This is the youth Section , and you 're friend having sex with multiple ppl ?"
6596,,,,,neither,He will get aids soon and die
6597,,,,,neither,Hi Michael .
6598,,,,,neither,"As requested , here 's a link to the USA Today coverage of the mystery of the stinky suitcase ."
6599,,,,,neither,http://www.usatoday.com/news/world/2...on-noses_x.htm
6600,,,,,neither,Hey There I just moved here to Saskatoon and was hoping to hook up with some WN in the city here .
6601,,,,,neither,PM me !
6602,,,,,neither,"Well, I think we 've reached the point where this discussion is going round and round , so we can end it right here ."
6603,,,,,neither,"It's to bad that there is n't anything like this anymore , Id sure join if there was ."
6604,,,,,neither,Or maybe there is and I just do n't know about it .
6605,,,,,neither,We dont really have any Blacks in our schools round here ....
6606,,,,,hate_speech,Bbut they are creeping in slowly seeing more and more these days .
6607,,,,,neither,"Negroids have a very different hair type then whites , black hair is referring to there hair type and how they manage/take care of it because its different then ours ."
6608,,,,,neither,"but if you print it and get it into comic stores , you get a lot more coverage of the population , my oppinion ."
6609,,,,,neither,"i might print out b/w copies and just leave them at places to get it out , but first I need an artist ."
6610,,,,,neither,This thread is an example of white people not forming an alliance anytime soon When we still have whites fighting over who is more white .
6611,,,,,neither,"Get over it ! if your white and racially aware , join the army and respect your white brothers and sisters !"
6612,,,,,neither,a few times ive been told to make kids. i said i have no one to make them with. now i have someone but we do not feel ready to have kids. i belive in quality over quantity. so we would have maybe 2 to 4 .
6613,,,,,hate_speech,If they do n't find a way to kick out the brown cloud that 's already there the Danish gene pool is lost .
6614,,,,,neither,I went out of my way to purchase food items from Denmark whenever they were available because I believe in hygiene and handling of food products by clean whites .
6615,,,,,neither,No more !
6616,,,,,neither,"I'm a WN from NJ , Ive been looking for others in NJ for awhile , where about in NJ are u ?"
6617,,,,,neither,Im from Central NJ .
6618,,,,,neither,My AIM s/n is MetalGod178
6619,,,,,hate_speech,Black people are the biggest pawns ever everyone uses them for crime they are always the fall guy.Italian mob uses them to do the dirty work the mexicans use them the japanese use them and the chinese.Now who should know whos name ?
6620,,,,,neither,"its because the teachers are liberals and kikes who know not of true European values or European pride. our teachers are actually imbeciles and stooges , save for a few. i find that tragically ironic ."
6621,,,,,neither,I did the whole rainbow inspired hair colors from ages 14 - 17 .
6622,,,,,neither,My natural color had been a rich chocolate brown .. but after I had my daughter it got mousy .
6623,,,,,neither,After I had my son it got reddish highlights .. which I loved .
6624,,,,,neither,"Now that he 's 15 months old , my hair went back to mousy ."
6625,,,,,neither,I use Feria 's Blowout Burgundy every 6 weeks ... it 's a subtle color unless I 'm right in the sun - then it 's vibrant .
6626,,,,,neither,Would n't change it for anything !
6627,,,,,neither,too bloody right mate hey dont get me wrong i use short cuts all the time but sometimes it jus goes 2 far
6628,,,,,neither,I'm not trying to insult you or anything .
6629,,,,,neither,Just trying to make people understand that you dont HAVE to shave your head to be a skin .
6630,,,,,neither,"quote: -------------------------------------------------------------------------------- Originally posted by Draco Nah G , Iz bee outta dat wigga sheot like a million mutha * * * * in years ago , nameen ?"
6631,,,,,neither,"I stillz listens to da Eminem and Wu-Tang Klan ( Big Up ! ) an sheot , but bitches know not ta reprazent !"
6632,,,,,neither,Me an my main nigga Rakwan X and Cracka killa homey G dog money funk on the East side representin Brooklyn soul brotha numba 1 Leroy beez runnin da wigga thing up in hea !
6633,,,,,neither,Holla !
6634,,,,,neither,-------------------------------------------------------------------------------- Ebonics ...
6635,,,,,neither,This is the sadest excuse for a white person I have ever heard .
6636,,,,,neither,You are not out of the wigger stage .
6637,,,,,neither,I could go on for hours pointing out your wigger flaws but im not even gonna waste my time .
6638,,,,,neither,"You need some white culture , and a dictionary ."
6639,,,,,neither,WPWW - eddie
